name,kind,zip_datetime,uncompressed_size,compressed_size,sha256,line_count,first_heading_or_label,inventory_notes
maestro_v5c_bootstrap.md,text/md,2026-04-12T18:52:40,26055,10451,58bba55491c10c19440aa96b6ec42083f0779b531f2d536be37ccf631fdb2343,484,# MAESTRO v5-c — LOSSLESS COLD-START BOOTSTRAP PROMPT,
MOSAIC_system_architecture.svg,text/svg,2026-04-12T18:52:40,14620,3163,d47e6e48d7730458e4ba20984962a53c0ac246d9048d3becb7065949f6131a6c,276,"<svg width=""100%"" viewBox=""0 0 680 920"" role=""img"" xmlns=""http://www.w3.org/2000/svg"">",
BASELINE_RECONSTRUCTION_LEDGER_v0.1.docx,docx,2026-04-12T18:52:40,18952,16902,8c5ca9a594b22a5bcfcfde36d56fce23c79b84e05ce40ee2ef4d412a288c0ab2,,"   Un-named  Un-named  1  2026-04-08T18:40:27.295Z  2026-04-08T18:40:27.296Z   | doc_text: MAESTRO RECOVERY SURFACE BASELINE RECONSTRUCTION LEDGER v0.1 Phase 0 Recovery Artifact · Not a Redesign Pass 2026-04-08 · Frozen before v4.5 → v4.6 mutation <w:tblPr><w:tblW w:type=""dxa"" w:w=""9360""/><w:tblBorders><w:top w:val=""none""/><w:left w:val=""none""/><w:bottom w:val=""none""/><w:right w:val=""none",docx_parts=22
MAESTRO_V5C_COLDSTART_BOOTSTRAP.md,text/md,2026-04-12T18:52:40,13769,5913,dc3a454c39720dccc7955afa3a3498c3349fa087facc60401ae05e1da5f1735f,306,# MAESTRO v5-c — Cold-Start Bootstrap Prompt,
